CityName,StateName,Count,
Wilson,AR,2,
JACKSONVILLE,FL,2,
Labelle,FL,2,
Vernon,FL,2,
Hudson,FL,2,
Ruskin,FL,2,
Galloway,OH,2,
Hamler,OH,2,
Carroll,OH,2,
Vincent,OH,2,
Uniontown,OH,2,
Columbia Station,OH,2,
Mead,WA,2,
Spangle,WA,2,
Suquamish,WA,2,
Cottonwood,CA,2,
Anza,CA,2,
Rio Linda,CA,2,
Valley Village,CA,2,
Midpines,CA,2,
Mckinleyville,CA,2,
Mojave,CA,2,
Napoleonville,LA,2,
Longville,LA,2,
Columbia,LA,2,
Bourg,LA,2,
Morganza,LA,2,
Tickfaw,LA,2,
Dequincy,LA,2,
Hebron,KY,2,
Cecilia,KY,2,
Ringling,OK,2,
Highland,MI,2,
Bridgeport,MI,2,
Menominee,MI,2,
Holton,MI,2,
Okemos,MI,2,
Indian Springs,NV,2,
Minden,NV,2,
Hoffman Forest,NC,2,
Arden,NC,2,
Pikeville,NC,2,
Pfafftown,NC,2,
Cameron,NC,2,
Lake View,SC,2,
Lamar,SC,2,
Pawleys Island,SC,2,
Cordova,SC,2,
Pelion,SC,2,
Taylors,SC,2,
Little River,SC,2,
Gilbert,SC,2,
Hopkins,SC,2,
Richburg,SC,2,
Plymouth Meeting,PA,2,
Fairview,PA,2,
Newtown Square,PA,2,
Jamaica,NY,2,
Penfield,NY,2,
Locust Valley,NY,2,
Medford,NY,2,
Henrietta,NY,2,
Brookhaven,NY,2,
Islip,NY,2,
Nedrow,NY,2,
East Meadow,NY,2,
Uniondale,NY,2,
Riverhead,NY,2,
Hicksville,NY,2,
North Babylon,NY,2,
Greenville,GA,2,
Lithia Springs,GA,2,
Blairsville,GA,2,
MARIETTA,GA,2,
Carnesville,GA,2,
Mcrae,GA,2,
Saint Simons Island,GA,2,
Tiger,GA,2,
Collinwood,TN,2,
Mcminnville,TN,2,
Harrison,TN,2,
Eupora,MS,2,
Collinsville,MS,2,
Brooklyn,MS,2,
Ecru,MS,2,
Bruce,MS,2,
Shannon,MS,2,
Pelahatchie,MS,2,
Ripley,MS,2,
Utica,MS,2,
Pulaski,MS,2,
Seminary,MS,2,
Leakesville,MS,2,
Baldwyn,MS,2,
Union Bridge,MD,2,
Fort George G Meade,MD,2,
Parkton,MD,2,
Catonsville,MD,2,
Glenelg,MD,2,
Edgewood,MD,2,
Pike Ntl Forest,CO,2,
Herculaneum,MO,2,
Bolivar,MO,2,
Lamar,MO,2,
Hillsboro,MO,2,
Bonne Terre,MO,2,
Hazelwood,MO,2,
Mountain View,MO,2,
Joplin,MO,2,
Maryland Heights,MO,2,
Festus,MO,2,
Lakeside,AZ,2,
Brookfield,CT,2,
Seymour,CT,2,
Ridgefield,CT,2,
Fairfield,CT,2,
Middlebury,CT,2,
Madison,CT,2,
Glastonbury,CT,2,
Inwood,WV,2,
Kealakekua,HI,2,
Pearl City,HI,2,
Kaneohe,HI,2,
Waimea,HI,2,
Waipahu,HI,2,
Waialua,HI,2,
Buffalo Center,IA,2,
Kingston,MA,2,
Billerica,MA,2,
Wakefield,MA,2,
West Springfield,MA,2,
Duxbury,MA,2,
Dover,MA,2,
Shrewsbury,MA,2,
Millis,MA,2,
Brookline,MA,2,
Norwell,MA,2,
Holliston,MA,2,
Mansfield,MA,2,
Belmont,MA,2,
Northborough,MA,2,
Ashburnham,MA,2,
Milton,MA,2,
Byfield,MA,2,
Mattapan,MA,2,
Lynnfield,MA,2,
Grafton,MA,2,
Milford,MA,2,
Great Barrington,MA,2,
Mcpherson,KS,2,
Garden Plain,KS,2,
Camden Wyoming,DE,2,
Meriden,NH,2,
Salem,NH,2,
Worley,ID,2,
Hamilton,ON,2,
Highland Home,AL,1,
Grand Bay,AL,1,
Mckenzie,AL,1,
Goshen,AL,1,
Marbury,AL,1,
Carrollton,AL,1,
Toxey,AL,1,
Seale,AL,1,
Columbia,AL,1,
Thomaston,AL,1,
Somerville,AL,1,
Millport,AL,1,
Akron,AL,1,
Parrish,AL,1,
Alpine,AL,1,
Irvington,AL,1,
Newbern,AL,1,
Coffeeville,AL,1,
Dyke,VA,1,
Quicksburg,VA,1,
Dendron,VA,1,
Bassett,VA,1,
New Castle,VA,1,
Annandale,VA,1,
Max Meadows,VA,1,
King George,VA,1,
Gloucester,VA,1,
Stuarts Draft,VA,1,
Amelia Court House,VA,1,
Dry Fork,VA,1,
Mineral,VA,1,
New Kent,VA,1,
Cumberland,VA,1,
Crozet,VA,1,
Nathalie,VA,1,
Milford,VA,1,
Mclean,VA,1,
Cleveland,VA,1,
Buckingham,VA,1,
Aldie,VA,1,
Hot Springs,VA,1,
Omaha,TX,1,
Trenton,TX,1,
Falls City,TX,1,
Diana,TX,1,
Canutillo,TX,1,
Laneville,TX,1,
Sidney,TX,1,
Mount Enterprise,TX,1,
O'Donnell,TX,1,
Simms,TX,1,
Burkeville,TX,1,
New Deal,TX,1,
Geronimo,TX,1,
Winona,TX,1,
Mcgregor,TX,1,
Coahoma,TX,1,
Bremond,TX,1,
Boling,TX,1,
Harleton,TX,1,
Tuscola,TX,1,
ALIEF,TX,1,
Hillsborough,NJ,1,
Franklinville,NJ,1,
Old Bridge,NJ,1,
North Brunswick,NJ,1,
Highland Lakes,NJ,1,
Flanders,NJ,1,
Colts Neck,NJ,1,
Belleville,NJ,1,
Clark,NJ,1,
Mullica Hill,NJ,1,
Pompton Plains,NJ,1,
Columbus,NJ,1,
Springfield,NJ,1,
Kendall Park,NJ,1,
Cape May Court House,NJ,1,
Plainsboro,NJ,1,
Little Falls,NJ,1,
Denville,NJ,1,
Pennsville,NJ,1,
Lanoka Harbor,NJ,1,
Saint Joe,AR,1,
Aubrey,AR,1,
Mcgehee,AR,1,
Mccrory,AR,1,
Cottondale,FL,1,
Brandon,FL,1,
Babson Park,FL,1,
Lecanto,FL,1,
Weeki Wachee,FL,1,
Dover,FL,1,
ROYAL PALM BEACH,FL,1,
Bristol,FL,1,
PLANTATION,FL,1,
VENICE,FL,1,
SAINT PETERSBURG,FL,1,
MONTICELLO,FL,1,
TAMPA,FL,1,
Middleburg,FL,1,
Baker,FL,1,
Mineral City,OH,1,
Sycamore,OH,1,
Maria Stein,OH,1,
Minford,OH,1,
Mineral Ridge,OH,1,
Jeromesville,OH,1,
Sherwood,OH,1,
Monclova,OH,1,
Irondale,OH,1,
DAYTON,OH,1,
Belmont,OH,1,
Peninsula,OH,1,
Haviland,OH,1,
New Washington,OH,1,
Castalia,OH,1,
Chattaroy,WA,1,
Rockford,WA,1,
Curlew,WA,1,
Belfair,WA,1,
Silverdale,WA,1,
Adna,WA,1,
Colbert,WA,1,
Hilmar,CA,1,
Linden,CA,1,
Edwards,CA,1,
Forestville,CA,1,
Oakhurst,CA,1,
Bloomington,CA,1,
Esparto,CA,1,
Castro Valley,CA,1,
Templeton,CA,1,
Sun Valley,CA,1,
Venice,CA,1,
Soquel,CA,1,
El Dorado,CA,1,
San Lorenzo,CA,1,
La Grange,CA,1,
Northridge,CA,1,
Mt Meadows Area,CA,1,
Mariposa,CA,1,
Nipomo,CA,1,
West Tehama County,CA,1,
WESTLAKE VILLAGE,CA,1,
SACRAMENTO,CA,1,
Trabuco Canyon,CA,1,
Felton,CA,1,
Santa Ynez,CA,1,
Pacoima,CA,1,
Sutter,CA,1,
Newport Coast,CA,1,
El Sobrante,CA,1,
North Hollywood,CA,1,
Lake Arrowhead,CA,1,
Mangham,LA,1,
Galliano,LA,1,
Marion,LA,1,
Deville,LA,1,
Plain Dealing,LA,1,
Lafitte,LA,1,
BATON ROUGE,LA,1,
Lena,LA,1,
Buckner,KY,1,
New Castle,KY,1,
Hyden,KY,1,
LOUISVILLE,KY,1,
Fairdale,KY,1,
Garber,OK,1,
Whittemore,MI,1,
White Lake,MI,1,
Hemlock,MI,1,
Fair Haven,MI,1,
New Lothrop,MI,1,
Temperance,MI,1,
Richland,MI,1,
Mcbain,MI,1,
Harrison Township,MI,1,
Mendon,MI,1,
Commerce Township,MI,1,
Elsie,MI,1,
Maple City,MI,1,
Allendale,MI,1,
Byron Center,MI,1,
Delton,MI,1,
Alamo,NV,1,
Pioche,NV,1,
Cerro Gordo,NC,1,
Catawba,NC,1,
Fuquay Varina,NC,1,
Climax,NC,1,
Camp Lejeune,NC,1,
Hampstead,NC,1,
Camden,NC,1,
Deep Run,NC,1,
Dudley,NC,1,
Pinetown,NC,1,
Lincoln City,IN,1,
Roachdale,IN,1,
Ramsey,IN,1,
Royal Center,IN,1,
Lizton,IN,1,
Aynor,SC,1,
Longs,SC,1,
Neeses,SC,1,
Wallace,SC,1,
Cross,SC,1,
Greeleyville,SC,1,
South Park,PA,1,
Ardmore,PA,1,
Harborcreek,PA,1,
Elliottsburg,PA,1,
Stoneboro,PA,1,
Jefferson,PA,1,
Dingmans Ferry,PA,1,
Schellsburg,PA,1,
Spring Church,PA,1,
Lopez,PA,1,
Sarver,PA,1,
Center Valley,PA,1,
New Tripoli,PA,1,
Hookstown,PA,1,
Mountain Top,PA,1,
Armagh,PA,1,
Karns City,PA,1,
South Salem,NY,1,
Harpursville,NY,1,
Clymer,NY,1,
Ozone Park,NY,1,
Clarence,NY,1,
Plainview,NY,1,
Grand Island,NY,1,
Glen Head,NY,1,
Central Islip,NY,1,
Sauquoit,NY,1,
Seaford,NY,1,
Spencer,NY,1,
New City,NY,1,
Mount Sinai,NY,1,
Islip Terrace,NY,1,
East Northport,NY,1,
Inwood,NY,1,
Bellmore,NY,1,
Latham,NY,1,
Huntington,NY,1,
Bay Shore,NY,1,
Thornwood,NY,1,
Rockaway Park,NY,1,
Farmingville,NY,1,
Cicero,NY,1,
Queens Village,NY,1,
West Sayville,NY,1,
Elma,NY,1,
West Valley,NY,1,
Bohemia,NY,1,
Damascus,GA,1,
La Fayette,GA,1,
Winston,GA,1,
Irwinton,GA,1,
Newton,GA,1,
Warm Springs,GA,1,
Rabun Gap,GA,1,
Riceboro,GA,1,
ATLANTA,GA,1,
Scottdale,GA,1,
Whites Creek,TN,1,
Quebeck,TN,1,
Coalfield,TN,1,
Corryton,TN,1,
Coalmont,TN,1,
Huntland,TN,1,
Strawberry Plains,TN,1,
Mckenzie,TN,1,
Belzoni,MS,1,
Pass Christian,MS,1,
Calhoun City,MS,1,
Prentiss,MS,1,
Gloster,MS,1,
Maben,MS,1,
Quitman,MS,1,
Itta Bena,MS,1,
Walnut Grove,MS,1,
Stringer,MS,1,
Marks,MS,1,
Coffeeville,MS,1,
Coldwater,MS,1,
Weir,MS,1,
New Albany,MS,1,
Pontotoc,MS,1,
Mooreville,MS,1,
Benton,MS,1,
Crystal Springs,MS,1,
Florence,MS,1,
Shaw,MS,1,
Satartia,MS,1,
Foxworth,MS,1,
Bogue Chitto,MS,1,
Glen,MS,1,
Iuka,MS,1,
Mize,MS,1,
Falkner,MS,1,
Prince Frederick,MD,1,
Riverdale,MD,1,
Temple Hills,MD,1,
Essex,MD,1,
White Plains,MD,1,
Nottingham,MD,1,
Fulton,MD,1,
Elkridge,MD,1,
Owings,MD,1,
Edgewater,MD,1,
Havre De Grace,MD,1,
Marbury,MD,1,
Clinton,MD,1,
Mechanicsville,MD,1,
Severna Park,MD,1,
Beltsville,MD,1,
Dundalk,MD,1,
Pikesville,MD,1,
Clear Spring,MD,1,
Perry Hall,MD,1,
Fallston,MD,1,
Great Mills,MD,1,
Joppa,MD,1,
Peyton,CO,1,
Wiggins,CO,1,
New Raymer,CO,1,
Haxtun,CO,1,
Table Grove,IL,1,
Pleasant Plains,IL,1,
Hughesville,MO,1,
Camdenton,MO,1,
Washington,MO,1,
Lebanon,MO,1,
Moberly,MO,1,
Branson,MO,1,
Maryville,MO,1,
Smithville,MO,1,
Strafford,MO,1,
Lawson,MO,1,
Brookfield,MO,1,
Edina,MO,1,
Mexico,MO,1,
Warrenton,MO,1,
Potosi,MO,1,
Carl Junction,MO,1,
Hamilton,MO,1,
Richmond,MO,1,
Chaffee,MO,1,
Winfield,MO,1,
Aurora,MO,1,
Lewistown,MO,1,
Sullivan,MO,1,
Higginsville,MO,1,
Alma,MO,1,
Fountain City,WI,1,
Mcfarland,WI,1,
Brussels,WI,1,
Highland,WI,1,
Blackduck,MN,1,
New Germany,MN,1,
Parkers Prairie,MN,1,
Esko,MN,1,
Butte Falls,OR,1,
Bonanza,OR,1,
Elmira,OR,1,
Glendale,UT,1,
Heber City,UT,1,
MILLVILLE,UT,1,
Waterford,CT,1,
Clinton,CT,1,
East Hartland,CT,1,
Pomfret Center,CT,1,
Wethersfield,CT,1,
Lakeville,CT,1,
East Hartford,CT,1,
Coventry,CT,1,
East Lyme,CT,1,
Pawcatuck,CT,1,
Enfield,CT,1,
Ledyard,CT,1,
Darien,CT,1,
Monroe,CT,1,
Sandia Park,NM,1,
Los Alamos,NM,1,
Warner,SD,1,
Langford,SD,1,
Gilbert,WV,1,
Northfork,WV,1,
Ridgeley,WV,1,
Shenandoah Junction,WV,1,
Makaweli,HI,1,
Lahaina,HI,1,
HONOLULU,HI,1,
Kahului,HI,1,
Henderson,NE,1,
Crofton,NE,1,
Clay Center,NE,1,
Firth,NE,1,
Howells,NE,1,
Giltner,NE,1,
Trumbull,NE,1,
Allen,NE,1,
Blairsburg,IA,1,
Inwood,IA,1,
Murray,IA,1,
Maxwell,IA,1,
Alleman,IA,1,
Calmar,IA,1,
Underwood,IA,1,
Okoboji,IA,1,
Tabor,IA,1,
Walnut,IA,1,
Wellesley Hills,MA,1,
Concord,MA,1,
East Sandwich,MA,1,
North Dartmouth,MA,1,
Weston,MA,1,
Leicester,MA,1,
Walpole,MA,1,
Reading,MA,1,
Newton Center,MA,1,
South Dartmouth,MA,1,
North Attleboro,MA,1,
Arlington,MA,1,
Northfield,MA,1,
North Andover,MA,1,
Cohasset,MA,1,
Amherst,MA,1,
Southborough,MA,1,
Williamstown,MA,1,
Marblehead,MA,1,
Sudbury,MA,1,
Norwood,MA,1,
Roxbury,MA,1,
Dedham,MA,1,
Mashpee,MA,1,
South Hamilton,MA,1,
Nantucket,MA,1,
North Dighton,MA,1,
Westford,MA,1,
Bolton,MA,1,
Auburn,MA,1,
West Boylston,MA,1,
Lakeville,MA,1,
North Truro,MA,1,
North Chelmsford,MA,1,
Rutland,MA,1,
Little River,KS,1,
Riley,KS,1,
Hoyt,KS,1,
Agra,KS,1,
Howard,KS,1,
Downs,KS,1,
Quinter,KS,1,
Amherst,NH,1,
Wolfeboro,NH,1,
Tilton,NH,1,
North Conway,NH,1,
Londonderry,NH,1,
Weare,NH,1,
Arco,ID,1,
Rogerson,ID,1,
Richfield,ID,1,
Declo,ID,1,
BOISE,ID,1,
Midwest,WY,1,
Saint Marys,AK,1,
Elmendorf Afb,AK,1,
King City,ON,1,
Mississauga,ON,1,
Brantford,ON,1,
Brampton,ON,1,
Corvallis,MT,1,
Superior,MT,1,
North Scituate,RI,1,
Barrington,RI,1,
Wakefield,RI,1,
Cornish,ME,1,
Pittsfield,ME,1,
Brunswick,ME,1,
Kindred,ND,1,
Westhope,ND,1,
Anamoose,ND,1,
Saxtons River,VT,1,
Danville,VT,1,
